video,class,actual,predicted,confidence,frame,classification,iteration,extraction_timestamp,reason,negative_class_created,embedding_available
Scenes 021-040__237B-1-_20230815180326204.mp4,TVA Prisoner Uniform,0.0,1,0.8286673426628113,262.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 021-040__237B-1-_20230815180326204.mp4,TimeSpear,0.0,1,0.8971428871154785,35.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TimeSpear,True
Scenes 021-040__440H-2b-_20230816031331933.mp4,Aligator Loki Plushie,0.0,1,0.8525314927101135,55.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Aligator Loki Plushie,True
Scenes 021-040__536A-3-_20230816063724398.mp4,Boastful Loki Armor,0.0,1,0.8399192690849304,94.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Boastful Loki Armor,True
Scenes 021-040__536A-3-_20230816063724398.mp4,Sylvie's machete,0.0,1,0.8113700151443481,22.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Sylvie's machete,True
Scenes 021-040__536A-3-_20230816063724398.mp4,TVA Collar,0.0,1,0.8037387132644653,38.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TVA Collar,True
Scenes 021-040__536A-3-_20230816063724398.mp4,TemPad,0.0,1,0.8393740653991699,143.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TemPad,True
Scenes 021-040__537C-2_20230816070308783.mp4,Aligator Loki Plushie,0.0,1,0.8032298684120178,26.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Aligator Loki Plushie,True
Scenes 041-060__156-5a- only pu_20230815181240389.mp4,TemPad,0.0,1,0.862310528755188,173.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TemPad,True
Scenes 041-060__156-5a- only pu_20230815181240389.mp4,Time Stick,0.0,1,0.8088796138763428,156.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Time Stick,True
Scenes 041-060__156-6a- only pu_20230815175525189.mp4,TemPad,0.0,1,0.8138185739517212,70.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TemPad,True
Scenes 041-060__156D-1- mos_20230815181940173.mp4,TVA Collar,0.0,1,0.8412299156188965,171.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TVA Collar,True
Scenes 041-060__156F-1-_20230815175731629.mp4,TemPad,0.0,1,0.8416619300842285,98.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TemPad,True
Scenes 041-060__244A-7- pu_20230815211729392.mp4,Ravonna Renslayer's Uniform,0.0,1,0.8113474249839783,56.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Ravonna Renslayer's Uniform,True
Scenes 041-060__244A-7- pu_20230815211729392.mp4,TVA Collar,0.0,1,0.8287127017974854,59.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TVA Collar,True
Scenes 041-060__244A-7- pu_20230815211729392.mp4,TVA Prisoner Uniform,0.0,1,0.8592666983604431,13.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 041-060__244B-1-_20230815212053650.mp4,TVA Prisoner Uniform,0.0,1,0.8827371001243591,62.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TVA Prisoner Uniform,True
Scenes 041-060__244B-1-_20230815212053650.mp4,Time Stick,0.0,1,0.8010830879211426,158.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Time Stick,True
Scenes 061-080__165A-1-_20230815180241405.mp4,Sylvie's machete,0.0,1,0.80716872215271,25.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Sylvie's machete,True
Scenes 061-080__165A-1-_20230815180241405.mp4,TVA Collar,0.0,1,0.8361371755599976,92.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TVA Collar,True
Scenes 061-080__165A-1-_20230815180241405.mp4,TemPad,0.0,1,0.8422582149505615,96.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TemPad,True
Scenes 061-080__165A-4-_20230815180313546.mp4,TemPad,0.0,1,0.8397930860519409,102.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TemPad,True
Scenes 061-080__265G-3-_20230815215442372.mp4,Sylvie's Armor,0.0,1,0.8553075194358826,79.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_Sylvie's Armor,True
Scenes 061-080__265G-3-_20230815215442372.mp4,TimeSpear,0.0,1,0.8174615502357483,88.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TimeSpear,True
Scenes 061-080__265N-1_20230815220141511.mp4,TimeSpear,0.0,1,0.825324535369873,34.0,FP,1,2025-05-30T14:35:36.368911,false_positive_for_training,not_TimeSpear,True
