video,frame,owl_label,embedding_shape,embedding_norm
Scene_002,63,Loki_Dagger,"(512,)",21.90186678260178
Scene_003,64,TVA_Monitor,"(512,)",23.268144860920447
Scene_001,65,Loki_Armor,"(512,)",21.991700366662272
Scene_001,66,TVA_Collar,"(512,)",22.054112130302297
Scene_002,67,TemPad,"(512,)",22.008584495562214
Scene_002,68,Loki_Dagger,"(512,)",21.55614867813653
Scene_003,69,TVA_Monitor,"(512,)",22.55102682066008
Scene_001,70,Loki_Armor,"(512,)",21.9909975271425
Scene_001,71,TVA_Collar,"(512,)",23.201512444493478
Scene_002,72,TemPad,"(512,)",22.825710898904184
Scene_002,73,Loki_Dagger,"(512,)",22.074174079497144
Scene_003,74,TVA_Monitor,"(512,)",21.543637013580074
Scene_001,75,Loki_Armor,"(512,)",21.736814972892326
Scene_001,76,TVA_Collar,"(512,)",21.78211261699734
Scene_002,77,TemPad,"(512,)",23.11331998208926
Scene_002,78,Loki_Dagger,"(512,)",24.04531221755545
Scene_003,79,TVA_Monitor,"(512,)",22.565115686453645
Scene_001,80,Loki_Armor,"(512,)",21.74600451698734
Scene_001,81,TVA_Collar,"(512,)",22.378937917384537
Scene_002,82,TemPad,"(512,)",23.537615320874725
Scene_002,83,Loki_Dagger,"(512,)",22.387437335059122
Scene_003,84,TVA_Monitor,"(512,)",22.403584634410105
Scene_001,85,Loki_Armor,"(512,)",23.284807190201192
Scene_001,86,TVA_Collar,"(512,)",23.12140410825502
Scene_002,87,TemPad,"(512,)",23.829143378695722
Scene_002,88,Loki_Dagger,"(512,)",22.402419129111642
Scene_003,89,TVA_Monitor,"(512,)",23.324540002880546
Scene_001,90,Loki_Armor,"(512,)",24.15998286936687
Scene_001,91,TVA_Collar,"(512,)",23.09826714511794
Scene_002,92,TemPad,"(512,)",22.274264541548753
Scene_002,93,Loki_Dagger,"(512,)",21.410079720150716
Scene_003,94,TVA_Monitor,"(512,)",22.101946240116067
Scene_001,95,Loki_Armor,"(512,)",22.183417457255413
Scene_001,96,TVA_Collar,"(512,)",23.111009009680863
Scene_002,97,TemPad,"(512,)",22.6046518759579
Scene_002,98,Loki_Dagger,"(512,)",22.162961947584844
Scene_003,99,TVA_Monitor,"(512,)",21.94737702559304
Scene_001,100,Loki_Armor,"(512,)",22.749094405594036
Scene_001,101,TVA_Collar,"(512,)",24.616216725047096
Scene_002,102,TemPad,"(512,)",22.67556531541795
Scene_002,103,Loki_Dagger,"(512,)",22.996947534128022
Scene_003,104,TVA_Monitor,"(512,)",22.349895612387513
Scene_001,105,Loki_Armor,"(512,)",22.560935980312063
Scene_001,106,TVA_Collar,"(512,)",21.464485727170402
Scene_002,107,TemPad,"(512,)",22.358507004902904
Scene_002,108,Loki_Dagger,"(512,)",22.415602465936633
Scene_003,109,TVA_Monitor,"(512,)",21.904663244305087
