class,finetuned_embedding
not_Aligator Loki Plushie,"[4.1860461e-05 2.8039102e-02 4.1497186e-02 ... 5.1742424e-03 4.6039093e-04
 5.0673570e-04]"
not_Loki's Variant uniform,[0.00723848 0.01851993 0.01321311 ... 0.01365018 0.05036933 0.01499713]
not_Loki's dagger,"[2.3738362e-03 1.0506731e-02 3.2889958e-02 ... 3.3481305e-03 8.1425271e-05
 1.2413933e-02]"
not_Sylvie's machete,"[3.6826812e-05 1.0791883e-02 2.6671657e-02 ... 1.5576561e-02 4.4897839e-02
 9.0529388e-03]"
not_TemPad,[0.00968681 0.00737926 0.0049741  ... 0.00118845 0.04267725 0.01719034]
not_TimeSpear,"[1.0534589e-03 7.6428398e-05 2.9834548e-02 ... 4.7390563e-03 0.0000000e+00
 2.4134717e-03]"
not_Loki's dagger,[0.00428826 0.00857653 0.03051295 ... 0.00693796 0.00688631 0.02278391]
not_Ravonna Renslayer's Uniform,"[2.2008226e-05 1.2306251e-03 1.4792428e-02 ... 1.7132274e-03 4.0598739e-02
 1.7836543e-03]"
not_TVA Prisoner Uniform,[0.0068466  0.06749642 0.0237519  ... 0.00376652 0.00975645 0.02531065]
not_TemPad,[0.00039432 0.00512053 0.00669183 ... 0.00140833 0.04590615 0.02227309]
not_TemPad,[0.00069905 0.01238749 0.00221445 ... 0.00389177 0.03929134 0.01936677]
not_Sylvie's machete,[0.00038974 0.00720756 0.03338936 ... 0.01224899 0.03875433 0.02075386]
not_Loki's Armor,[0.03115247 0.0198623  0.01326928 ... 0.01575992 0.00999818 0.01809402]
not_Sylvie's machete,[0.00079122 0.00651767 0.046004   ... 0.01761286 0.04764163 0.03015519]
not_TVA Collar,[0.00820588 0.04646175 0.034627   ... 0.014673   0.00799824 0.02379477]
not_TVA Prisoner Uniform,[0.01901215 0.05323248 0.02456045 ... 0.00989454 0.00614832 0.02983616]
not_TemPad,[0.00036083 0.00999613 0.01643818 ... 0.00597299 0.02688145 0.02428247]
not_TemPad,[0.01221376 0.00574225 0.02181817 ... 0.00084025 0.04083988 0.01636214]
not_Aligator Loki Plushie,[0.         0.04128765 0.05209217 ... 0.01557451 0.02336954 0.00788177]
not_Loki's Armor,[0.01188613 0.01029302 0.05322374 ... 0.00658231 0.00697034 0.01679154]
not_Loki's dagger,[0.00128467 0.02477706 0.06599841 ... 0.00894475 0.00132095 0.01485881]
not_Sylvie's machete,[0.00218762 0.00076191 0.02046216 ... 0.01614666 0.0466214  0.01532575]
not_TVA Prisoner Uniform,[0.00522607 0.03332041 0.02947432 ... 0.0073075  0.02153469 0.01772676]
not_TimeSpear,[0.00934416 0.00077267 0.0342867  ... 0.00288615 0.00035551 0.00341376]
not_Aligator Loki Plushie,[0.00029019 0.01996323 0.05265356 ... 0.01863731 0.00576538 0.00079141]
not_Boastful Loki Armor,[0.01156725 0.014532   0.01330752 ... 0.00054309 0.03564648 0.00888195]
not_Sylvie's machete,[0.00422442 0.00093779 0.02281943 ... 0.01447102 0.04009799 0.00549348]
not_TemPad,[0.00162374 0.00560453 0.0019996  ... 0.00165537 0.04703436 0.00859166]
not_TemPad,[0.00598121 0.01816158 0.00641953 ... 0.0025808  0.03130025 0.02812755]
not_TemPad,[0.01279585 0.01625357 0.00696329 ... 0.00678605 0.027534   0.02853894]
not_TVA Collar,[0.00487155 0.02289713 0.01835548 ... 0.03331245 0.00138163 0.02960126]
not_TemPad,[0.00748658 0.01164389 0.01677096 ... 0.00493941 0.03334532 0.0257202 ]
not_Ravonna Renslayer's Uniform,[0.00028446 0.00375242 0.01130394 ... 0.00121177 0.03607607 0.00407948]
not_TVA Collar,[0.00497048 0.02629405 0.01324799 ... 0.01983232 0.00585694 0.02488763]
not_TVA Prisoner Uniform,[0.00888127 0.06028975 0.02664826 ... 0.01270259 0.00553954 0.03875005]
not_TVA Prisoner Uniform,[0.01023557 0.07164177 0.03709996 ... 0.01331928 0.01293491 0.0235452 ]
not_Sylvie's machete,[0.00024991 0.00571145 0.01793175 ... 0.01035436 0.04748506 0.02113688]
not_TVA Collar,[0.0122556  0.02400825 0.02358579 ... 0.01651187 0.00066841 0.01657054]
not_TemPad,[0.0004808  0.00675244 0.02324596 ... 0.00484675 0.02852033 0.0312464 ]
not_Sylvie's machete,[0.         0.02040571 0.01509387 ... 0.00860378 0.05373813 0.02098866]
not_TemPad,[0.00318155 0.0224579  0.01487486 ... 0.00083189 0.02451796 0.01519246]
not_Sylvie's Armor,[0.03312248 0.04651474 0.02206764 ... 0.0200769  0.00150727 0.01024585]
not_TimeSpear,[0.00856418 0.         0.03902479 ... 0.00134582 0.00053937 0.01153414]
not_TimeSpear,"[1.2855605e-02 3.2205240e-05 2.8850595e-02 ... 2.8619855e-03 5.6261397e-03
 6.2890970e-03]"
