class,finetuned_embedding
not_Ravonna Renslayer's Uniform,[0.000728   0.00386099 0.02089457 ... 0.00380349 0.01523999 0.00698952]
not_TimeSpear,[0.00224575 0.00646643 0.03590097 ... 0.00068529 0.         0.00297008]
not_TVA Prisoner Uniform,[0.00387344 0.05888095 0.05399077 ... 0.02508447 0.02749056 0.03585592]
not_TimeSpear,[0.00210778 0.00438668 0.02502174 ... 0.00075893 0.00346033 0.00786879]
not_Sylvie's machete,[0.00307847 0.00113071 0.02578263 ... 0.00546124 0.02359361 0.00694661]
not_Sylvie's machete,[0.00310051 0.00917298 0.0190014  ... 0.0139371  0.0209155  0.01161227]
not_Aligator Loki Plushie,[0.00104914 0.01736049 0.04647066 ... 0.00834381 0.00259843 0.0019478 ]
not_Sylvie's machete,[0.00014939 0.00158201 0.01648754 ... 0.00298694 0.02296541 0.00098462]
not_Aligator Loki Plushie,[0.00013311 0.04023661 0.05677653 ... 0.02303237 0.00630505 0.00625604]
not_Sylvie's machete,[0.00248387 0.0001678  0.02884828 ... 0.01467725 0.02815304 0.00774373]
not_Sylvie's machete,[0.00216177 0.00210621 0.02952444 ... 0.01140983 0.01019037 0.00675772]
not_Loki's Variant uniform,[0.01410543 0.03240802 0.00760828 ... 0.01524825 0.01399347 0.01957804]
not_Sylvie's machete,[0.00021813 0.00987365 0.02397416 ... 0.01253124 0.0522054  0.00643124]
not_TemPad,[0.00488989 0.00414863 0.00341424 ... 0.00139697 0.0499527  0.01289451]
not_TemPad,[0.00022401 0.01166364 0.01801179 ... 0.00187329 0.02824345 0.02909386]
not_Sylvie's machete,[0.0003998  0.01352556 0.02813326 ... 0.00788395 0.03869363 0.02306288]
not_Sylvie's machete,[0.00079122 0.00651767 0.046004   ... 0.01761286 0.04764163 0.03015519]
not_TVA Collar,[0.00897976 0.03596164 0.03787274 ... 0.01514005 0.00475263 0.02261773]
not_TVA Prisoner Uniform,[0.01452666 0.05161157 0.0264341  ... 0.01169045 0.0095752  0.02571944]
not_Sylvie's machete,[0.         0.00574736 0.02249184 ... 0.01601782 0.05525569 0.01326241]
not_TVA Prisoner Uniform,[0.00522607 0.03332041 0.02947432 ... 0.0073075  0.02153469 0.01772676]
not_TimeSpear,[0.01057907 0.00075402 0.04311052 ... 0.00026957 0.00054313 0.00569142]
not_Aligator Loki Plushie,[0.00042888 0.01843201 0.04769345 ... 0.01371356 0.00308506 0.00093272]
not_TemPad,[0.01665768 0.02011139 0.00284274 ... 0.00115164 0.04367187 0.01348932]
not_TemPad,[0.00598121 0.01816158 0.00641953 ... 0.0025808  0.03130025 0.02812755]
not_TemPad,[0.01417461 0.0189882  0.00537224 ... 0.00368286 0.02719093 0.03113159]
not_TVA Collar,[0.01033508 0.01760795 0.01823029 ... 0.03331829 0.00153497 0.02679863]
not_TemPad,[0.00024305 0.02057848 0.03342637 ... 0.00468351 0.0172184  0.02306614]
not_TVA Prisoner Uniform,[0.01144816 0.04480352 0.02099454 ... 0.00191684 0.01142892 0.02798257]
not_TVA Prisoner Uniform,[0.01295908 0.073447   0.03758274 ... 0.01241063 0.00871787 0.02472501]
not_Sylvie's machete,[0.         0.00626143 0.01464106 ... 0.00724864 0.04905019 0.02060037]
not_TemPad,[0.0004808  0.00675244 0.02324596 ... 0.00484675 0.02852033 0.0312464 ]
not_Sylvie's machete,[0.         0.02040571 0.01509387 ... 0.00860378 0.05373813 0.02098866]
not_TemPad,[0.00318155 0.0224579  0.01487486 ... 0.00083189 0.02451796 0.01519246]
not_Sylvie's Armor,[0.02574621 0.0387808  0.03080716 ... 0.00823512 0.00353862 0.01369261]
not_TimeSpear,[0.00732969 0.         0.04172826 ... 0.0008381  0.00213034 0.01035386]
