video,frame,owl_label,embedding_shape,embedding_norm
Scenes 001-020__314-3_20230815232058756.mp4,63,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,54,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,107,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,90,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,60,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,106,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,110,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,94,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,60,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,85,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,34,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,31,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,79,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,25,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,63,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,93,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,51,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,62,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,120,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,34,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,91,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,43,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,90,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,36,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,93,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,20,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,131,Horned helmet,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,41,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,106,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,46,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,102,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,26,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,29,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,109,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,98,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,100,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,58,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,56,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,22,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,54,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,126,Horned helmet,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,113,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,48,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,28,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,57,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,124,Machete,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,43,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,92,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,95,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,59,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,99,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,48,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,104,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,40,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,45,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,52,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,74,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,38,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,95,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,110,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,84,Dark coat,"(2048,)",0.9999998807907104
Scenes 001-020__314-3_20230815232058756.mp4,49,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,86,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,30,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,41,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,117,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,39,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,49,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,63,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,75,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,67,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,104,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,77,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,54,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,26,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,96,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,59,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,42,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,86,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,97,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,103,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,31,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,44,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,36,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,32,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,76,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,78,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,28,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,37,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,39,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,23,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,33,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,22,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,25,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,64,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,47,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,75,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,66,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,118,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,35,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,61,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,119,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,44,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,25,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,109,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,53,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,88,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,45,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,83,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,37,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,27,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,31,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,29,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,108,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,61,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,24,Dark coat,"(2048,)",1.0000001192092896
Scenes 001-020__314-3_20230815232058756.mp4,42,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,51,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,107,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,38,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,62,Dark leather armor,"(2048,)",0.9999998807907104
Scenes 001-020__314-3_20230815232058756.mp4,65,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,32,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,114,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,87,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,105,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,42,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,23,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,114,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,118,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,25,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,43,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,55,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,117,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,60,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,35,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,131,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,82,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,46,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,47,Dark coat,"(2048,)",0.9999998807907104
Scenes 001-020__314-3_20230815232058756.mp4,92,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,100,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,94,Dark coat,"(2048,)",0.9999998807907104
Scenes 001-020__314-3_20230815232058756.mp4,38,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,111,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,59,Dark leather armor,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,101,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,55,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,57,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,33,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,66,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,52,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,112,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,33,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,45,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,22,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,36,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,80,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,50,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,102,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,30,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,34,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,55,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,62,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,32,Beige collared shirt,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,81,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,126,Handheld Device,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,79,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,24,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,98,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,49,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,115,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,39,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,88,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,119,Dark coat,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,99,Dark coat,"(2048,)",0.9999999403953552
Scenes 001-020__314-3_20230815232058756.mp4,113,Beige collared shirt,"(2048,)",1.0
Scenes 001-020__314-3_20230815232058756.mp4,59,Armored figure,"(2048,)",0.9999999403953552
Scenes 041-060__244C-1- mos_20230815211948647.mp4,0,Handheld Device,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,19,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,26,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Dark leather armor,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,14,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Machete,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,20,Cane,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Armored soldier,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,35,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,0,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Machete,"(2048,)",0.9999998807907104
Scenes 061-080__265A-1-_20230815215951493.mp4,30,Dark hooded tunic,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,19,Cane,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Armored soldier,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,3,Dark coat,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Dark leather armor,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Machete,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,18,Cane,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Armored soldier,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,29,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Machete,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,10,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,1,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,10,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,2,Dark coat,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,14,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,9,Armored soldier,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,10,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Dark leather armor,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,12,Horned helmet,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,21,Cane,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,9,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,0,Horned helmet,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Dark leather armor,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Dark leather armor,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,32,Dark coat,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,9,Horned helmet,"(2048,)",0.9999998807907104
Scenes 061-080__265A-1-_20230815215951493.mp4,5,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Armored soldier,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Machete,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,9,Machete,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Machete,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,25,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,32,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,9,Dark leather armor,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,8,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,17,Horned helmet,"(2048,)",0.9999998807907104
Scenes 061-080__265A-1-_20230815215951493.mp4,31,Dark coat,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,15,Horned helmet,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,16,Dark coat,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Armored soldier,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,33,Dark hooded tunic,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,33,Dark hooded tunic,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,6,Dark leather armor,"(2048,)",1.0
Scenes 061-080__265A-1-_20230815215951493.mp4,4,Dark coat,"(2048,)",0.9999999403953552
Scenes 061-080__265A-1-_20230815215951493.mp4,7,Dark leather armor,"(2048,)",1.0
